time_s,method1_time_s,method2_time_s,x_method1_interp_m,y_method1_interp_m,x_method2_corrected_interp_m,y_method2_corrected_interp_m,x_kalman_m,y_kalman_m,vx_kalman_mps,vy_kalman_mps,kalman_position_std_x_m,kalman_position_std_y_m
0.0,161.8676802032545,212.321,-3.3910985435887406,5.00677487185871,-4.183655520144824,5.092351223287859,-4.161729461366955,5.089710768898974,-0.7053139388854284,-0.28038680203593813,0.7438408724302583,0.7855565418728889
0.09999999999999432,161.9676802032545,212.421,-3.371734339539514,5.543924736355896,-4.083713854037548,4.9620868879233235,-4.232260855255493,5.061672088695381,-0.7053139388854284,-0.28038680203593813,0.7767270581660853,0.8167648130697266
0.19999999999998863,162.0676802032545,212.521,-3.64395899248098,5.588397474839182,-3.9837721879302723,4.831822552558789,-3.8831029906420946,5.188812423366141,-0.34719438758315313,-0.2947004708066528,0.4799180508030653,0.4981286190158703
0.29999999999998295,162.1676802032545,212.62099999999998,-4.055428094138916,5.39759868918048,-4.229938903824703,4.710187194831751,-3.917822429400408,5.159342376285477,-0.34719438758315313,-0.2947004708066528,0.5918308689319589,0.6080210914822932
0.39999999999997726,162.26768020325449,212.72099999999998,-4.4036460688049335,5.199308994612437,-4.476105619719133,4.588551837104714,-4.270386597580088,4.98870989495747,-1.048465104760199,-0.6117450687647341,0.44702144070760436,0.46109082492361275
0.4999999999999716,162.36768020325448,212.82099999999997,-4.457364040108255,4.966141301755558,-3.8227039625109094,4.852597991355065,-4.3752331080561015,4.927535388081,-1.048465104760199,-0.6117450687647341,0.5617251630910409,0.577020589395227
0.5999999999999659,162.46768020325447,212.92099999999996,-4.511082011411576,4.732973608898679,-3.1693023053024296,5.116644145605525,-3.8886591034245006,4.975168745273752,0.12549795015115706,-0.3975524783008316,0.5140716967527249,0.5347159288067492
0.6999999999999602,162.56768020325447,213.02099999999996,-4.425748696671555,4.645672110348013,-4.208683670785451,5.3488139277960105,-4.114203843692011,4.819322503126554,-0.2805805600205551,-0.5942164739693303,0.5103094976806152,0.5260785824546247
0.7999999999999545,162.66768020325446,213.12099999999995,-4.274013257144355,4.62802710698095,-5.248065036268953,5.580983709986486,-4.5695023555971055,5.066224582744123,-0.9835414911418345,-0.09171185177463648,0.4757044731305683,0.4953426366297944
0.8999999999999488,162.76768020325446,213.22099999999995,-4.24649299700883,4.56869962800868,-4.335370653321341,5.179485153843507,-4.5017623122286015,4.904708363316595,-0.737103030272375,-0.3171826928806091,0.45821083638277854,0.4731534151347122
0.9999999999999432,162.86768020325445,213.32099999999994,-4.797324024642311,4.315296726356731,-3.4226762703726195,4.777986597700168,-4.202591751291214,4.843335657605764,-0.22413841706997173,-0.35793162143488233,0.43525995386893795,0.45308942669014524
1.0999999999999375,162.96768020325445,213.42099999999994,-5.348155052275791,4.061893824704781,-3.019698300618987,4.667302970236817,-4.22500559299821,4.807542495462278,-0.22413841706997173,-0.35793162143488233,0.49683771276401506,0.5171157491220634
1.1999999999999318,163.06768020325444,213.52099999999993,-4.903640916735842,4.072065243345882,-2.616720330865644,4.556619342773632,-4.111055850762417,4.511321280460794,-0.049375146160289374,-0.6538552254534107,0.39973118757207826,0.4157581678590775
1.299999999999926,163.16768020325443,213.62099999999992,-3.9838127038356825,4.2081031347455475,-2.980785287970738,4.628235649040834,-4.115993365378446,4.445935757915456,-0.049375146160289374,-0.6538552254534107,0.44782971708638636,0.46575619641395966
1.3999999999999204,163.26768020325443,213.72099999999992,-3.2156913699546816,4.334304904856167,-3.344850245076268,4.699851955308138,-3.7448793869402115,4.435898976642834,0.3332084487101087,-0.5971606269149963,0.3699878034003395,0.3844671761485366
1.4999999999999147,163.36768020325442,213.8209999999999,-3.1539238752261207,4.414709265648202,-3.5208341663565905,4.60577013971996,-3.7115585420692025,4.376182913951338,0.3332084487101087,-0.5971606269149963,0.40866947920328867,0.4246389962557188
1.599999999999909,163.46768020325442,213.9209999999999,-3.0921563804975603,4.495113626440238,-3.696818087636753,4.511688324131639,-3.6829925644772707,4.36497626688532,0.32888937097952053,-0.5531293107482246,0.3871522081870284,0.40425752557931094
