method,nominal_hz,time_rel_s,time_s,x_m,y_m
method1,4.0,0.0,221.0,1.10202600461593,4.56143993708724
method1,4.0,0.1,221.1,1.097028783091934,4.561080720345412
method1,4.0,0.2,221.2,1.092031561567938,4.560721503603584
method1,4.0,0.3,221.3,1.0870348964478,4.5603497561671515
method1,4.0,0.4,221.4,1.08203878773152,4.559965478036116
method1,4.0,0.5,221.5,1.07704267901524,4.55958119990508
method1,4.0,0.6,221.6,1.0720478088078962,4.5591718625344635
method1,4.0,0.7,221.7,1.067052938600552,4.558762525163848
method1,4.0,0.8,221.8,1.062058750501436,4.55834065956354
method1,4.0,0.9,221.9,1.0570652445105482,4.55790626573354
method1,4.0,1.0,222.0,1.05207173851966,4.55747187190354
method1,4.0,1.1,222.1,1.047079722455912,4.557012425025032
method1,4.0,1.2,222.2,1.042087706392164,4.556552978146525
method1,4.0,1.3,222.3,1.037096498147314,4.556081006764594
method1,4.0,1.4,222.4,1.032106097721362,4.5555965108792424
method1,4.0,1.5,222.5,1.02711569729541,4.55511201499389
method1,4.0,1.6,222.6,1.022127038214746,4.554602474774222
method1,4.0,1.7,222.7,1.017138379134082,4.5540929345545536
method1,4.0,1.8,222.8,1.012150653576626,4.553570874819466
method1,4.0,1.9,222.9,1.0071638615423781,4.553036295568958
method1,4.0,2.0,223.0,1.00217706950813,4.55250171631845
method1,4.0,2.1,223.1,0.9971922702119228,4.551942103971562
method1,4.0,2.2,223.2,0.9922074709157156,4.551382491624675
method1,4.0,2.3,223.3,0.9872237308280006,4.5508103660123425
method1,4.0,2.4,223.4,0.9822410499487778,4.550225727134566
method1,4.0,2.5,223.5,0.977258369069555,4.54964108825679
method1,4.0,2.6,223.6,0.9722779322704082,4.5490314300446695
method1,4.0,2.7,223.7,0.9672974954712614,4.54842177183255
method1,4.0,2.8,223.8,0.9623182435341886,4.547799607867056
method1,4.0,2.9,223.9,0.9573401764591898,4.547164938148188
method1,4.0,3.0,224.0,0.952362109384191,4.54653026842932
method1,4.0,3.1,224.1,0.9473865376552257,4.545870595662356
method1,4.0,3.2,224.2,0.9424109659262606,4.545210922895392
method1,4.0,3.3,224.3,0.9374367046685754,4.544538753149208
method1,4.0,3.4,224.4,0.9324637538821702,4.543854086423804
method1,4.0,3.5,224.5,0.927490803095765,4.5431694196984
method1,4.0,3.6,224.6,0.9225205988199198,4.542459768735208
method1,4.0,3.7,224.7,0.9175503945440746,4.541750117772016
method1,4.0,3.8,224.8,0.912581626291659,4.541027979865708
method1,4.0,3.9,224.9,0.907614294062673,4.540293355016284
method1,4.0,4.0,225.0,0.902646961833687,4.53955873016686
method1,4.0,4.1,225.1,0.8976826271529926,4.538799142413616
method1,4.0,4.2,225.2,0.8927182924722983,4.538039554660372
method1,4.0,4.3,225.3,0.8877555192974457,4.537267491261798
method1,4.0,4.4,225.4,0.8827943076284348,4.536482952217894
method1,4.0,4.5,225.5,0.877833095959424,4.53569841317399
method1,4.0,4.6,225.6,0.8728751327242801,4.534888935083242
method1,4.0,4.7,225.7,0.867917169489136,4.534079456992494
method1,4.0,4.8,225.8,0.8629608931598262,4.5332575158154915
method1,4.0,4.9,225.9,0.8580063037363506,4.5324231115522355
method1,4.0,5.0,226.0,0.853051714312875,4.53158870728898
method1,4.0,5.1,226.1,0.8481006240313206,4.530729390357948
method1,4.0,5.2,226.2,0.8431495337497662,4.529870073426916
method1,4.0,5.3,226.3,0.8382002556789382,4.5289983072294815
method1,4.0,5.4,226.4,0.8332527898188365,4.528114091765646
method1,4.0,5.5,226.5,0.828305323958735,4.52722987630181
method1,4.0,5.6,226.6,0.8233616077457286,4.526320777070194
method1,4.0,5.7,226.7,0.8184178915327222,4.525411677838578
method1,4.0,5.8,226.8,0.8134761127275554,4.524490144420534
method1,4.0,5.9,226.9,0.8085362713302282,4.523556176816062
method1,4.0,6.0,227.0,0.803596429932901,4.52262220921159
method1,4.0,6.1,227.1,0.7986605884596082,4.521663389258846
method1,4.0,6.2,227.2,0.7937247469863153,4.520704569306102
method1,4.0,6.3,227.3,0.7887909679975204,4.519733331506252
