time_rel_s,method1_time_s,method1_x_m,method1_y_m,method2_time_s,method2_x_m,method2_y_m
0.0,221.0,1.10202600461593,4.56143993708724,468.8317,-0.93224842887106,3.26860449332362
0.1,221.1,1.097028783091934,4.561080720345412,468.93170000000003,-0.9347695799266026,3.264104426899735
0.2,221.2,1.092031561567938,4.560721503603584,469.0317,-0.9372907309821453,3.2596043604758496
0.3,221.3,1.0870348964478,4.5603497561671515,469.1317,-0.9397941374361494,3.255093712613064
0.4,221.4,1.08203878773152,4.559965478036116,469.2317,-0.9422975438901535,3.250583064750279
0.5,221.5,1.07704267901524,4.55958119990508,469.3317,-0.9447831614252832,3.246061905412589
0.6,221.6,1.0720478088078962,4.5591718625344635,469.43170000000003,-0.9472687789604128,3.241540746074899
0.7,221.7,1.067052938600552,4.558762525163848,469.5317,-0.9497365635351648,3.2370091454115495
0.8,221.8,1.062058750501436,4.55834065956354,469.6317,-0.9522043481099167,3.2324775447482006
0.9,221.9,1.0570652445105482,4.55790626573354,469.7317,-0.9546542559593919,3.2279355730925956
1.0,222.0,1.05207173851966,4.55747187190354,469.8317,-0.957104163808867,3.22339360143699
1.1,222.1,1.047079722455912,4.557012425025032,469.93170000000003,-0.9595361514455402,3.21884132930562
1.2,222.2,1.042087706392164,4.556552978146525,470.0317,-0.9619681390822132,3.2142890571742497
1.3,222.3,1.037096498147314,4.556081006764594,470.1317,-0.9643821632966945,3.209726555265579
1.4,222.4,1.032106097721362,4.5555965108792424,470.2317,-0.9667961875111756,3.205164053356909
1.5,222.5,1.02711569729541,4.55511201499389,470.3317,-0.9691922053729747,3.2005913925502836
1.6,222.6,1.022127038214746,4.554602474774222,470.43170000000003,-0.9715882232347738,3.196018731743658
1.7,222.7,1.017138379134082,4.5540929345545536,470.5317,-0.9739661920930512,3.1914359830982244
1.8,222.8,1.012150653576626,4.553570874819466,470.6317,-0.9763441609513288,3.1868532344527902
1.9,222.9,1.0071638615423781,4.553036295568958,470.7317,-0.9787040384356549,3.182260469206345
2.0,223.0,1.00217706950813,4.55250171631845,470.8317,-0.981063915919981,3.1776677039599
