time_s,time_rel_s,method1_time_s,method2_time_s,x_method1_spline_m,y_method1_spline_m,x_method2_aligned_spline_m,y_method2_aligned_spline_m,x_average_m,y_average_m,position_difference_m
270.39999860197736,0.0,270.39999860197736,468.8317,-0.9322483934977552,3.26860455615908,-0.93224842887106,3.26860449332362,-0.9322484111844076,3.2686045247413498,7.210801421600657e-08
270.4999986019774,0.10000000000002274,270.4999986019774,468.93170000000003,-0.9347739752695242,3.2641071439024163,-0.9347723908469515,3.2641061063326338,-0.9347731830582379,3.264106625117525,1.8939234257241403e-06
270.5999986019774,0.20000000000004547,270.5999986019774,469.03170000000006,-0.9372906958565899,3.259604423459747,-0.9372907309821464,3.2596043604758473,-0.9372907134193682,3.2596043919677973,7.211640845136531e-08
270.6999986019774,0.3000000000000682,270.6999986019774,469.1317000000001,-0.9397985441394663,3.2550964122949493,-0.93979901312626,3.255096610393536,-0.9397987786328632,3.2550965113442425,5.091086944999415e-07
270.79999860197745,0.40000000000009095,270.79999860197745,469.2317000000001,-0.9422975090147678,3.250583127882841,-0.9422975438901559,3.2505830647502747,-0.9422975264524618,3.250583096316558,7.212498606946722e-08
270.8999986019775,0.5000000000001137,270.8999986019775,469.3317000000001,-0.9447875794203819,3.2460645877260217,-0.944787497884812,3.2460644545431387,-0.944787538652597,3.2460645211345804,1.561593080108903e-07
270.9999986019775,0.6000000000001364,270.9999986019775,469.43170000000015,-0.9472687443354707,3.241540809354874,-0.9472687789604162,3.2415407460748926,-0.9472687616479434,3.2415407777148832,7.213350730541504e-08
271.0999986019775,0.7000000000001592,271.0999986019775,469.53170000000017,-0.9497409927553968,3.2370118103105803,-0.9497410584163949,3.23701176570927,-0.9497410255858958,3.237011788009925,7.937659315497807e-08
271.19999860197754,0.8000000000001819,271.19999860197754,469.6317000000002,-0.9522043137331497,3.2324776081726885,-0.9522043481099213,3.2324775447481926,-0.9522043309215356,3.2324775764604405,7.214172924778565e-08
271.29999860197756,0.9000000000002046,271.29999860197756,469.7317000000002,-0.954658696337933,3.2279382205315277,-0.9546587222392068,3.227938152009557,-0.9546587092885699,3.227938186270542,7.325391772096394e-08
